STATE,STATEFP,State_fip,COUNTYFP,COUNTYNAME,County_fip,PLACEFP,city_fip,PLACENS,PLACENAME,TYPE,CLASSFP,FUNCSTAT,LINK
AL,1,US01,9,Blount County,US01009,71201,US0171201,2402861,Smoke Rise,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,9,Blount County,US01009,71280,US0171280,2407358,Snead town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,9,Blount County,US01009,74160,US0174160,2406699,Susan Moore town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,9,Blount County,US01009,76680,US0176680,2406747,Trafford town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,11,Bullock County,US01011,26152,US0126152,2628590,Fitzpatrick,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,11,Bullock County,US01011,48424,US0148424,2406161,Midway town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,11,Bullock County,US01011,77880,US0177880,2405629,Union Springs city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,13,Butler County,US01013,29560,US0129560,2406560,Georgiana town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,13,Butler County,US01013,31912,US0131912,2403748,Greenville city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,13,Butler County,US01013,45496,US0145496,2406134,McKenzie town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,15,Calhoun County,US01015,1180,US0101180,2402638,Alexandria,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,15,Calhoun County,US01015,1852,US0101852,2403101,Anniston city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,15,Calhoun County,US01015,14728,US0114728,2582668,Choccolocco,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,15,Calhoun County,US01015,29992,US0129992,2403701,Glencoe city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,15,Calhoun County,US01015,35152,US0135152,2405845,Hobson City town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,15,Calhoun County,US01015,38272,US0138272,2404780,Jacksonville city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,15,Calhoun County,US01015,53232,US0153232,2582690,Nances Creek,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,15,Calhoun County,US01015,56472,US0156472,2407037,Ohatchee town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,15,Calhoun County,US01015,57576,US0157576,2404451,Oxford city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,15,Calhoun County,US01015,59640,US0159640,2404515,Piedmont city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,15,Calhoun County,US01015,67608,US0167608,2402815,Saks,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,15,Calhoun County,US01015,71832,US0171832,2405499,Southside city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,15,Calhoun County,US01015,80352,US0180352,2405699,Weaver city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,15,Calhoun County,US01015,81084,US0181084,2403002,West End-Cobb Town,CENSUS DESIGNATED PLACE,U2,S,TRUE
AL,1,US01,15,Calhoun County,US01015,82104,US0182104,2582707,White Plains,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,17,Chambers County,US01017,100,US0100100,2582661,Abanda,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,17,Chambers County,US01017,19216,US0119216,2424934,Cusseta town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,17,Chambers County,US01017,26200,US0126200,2406498,Five Points town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,17,Chambers County,US01017,28120,US0128120,2582675,Fredonia,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,17,Chambers County,US01017,36592,US0136592,2402603,Huguley,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,17,Chambers County,US01017,40672,US0140672,2404846,La Fayette city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,17,Chambers County,US01017,41296,US0141296,2404883,Lanett city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,17,Chambers County,US01017,59016,US0159016,2582693,Penton,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,17,Chambers County,US01017,72720,US0172720,2582701,Standing Rock,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,17,Chambers County,US01017,78204,US0178204,2405634,Valley city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,17,Chambers County,US01017,80256,US0180256,2406842,Waverly town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,19,Cherokee County,US01019,9880,US0109880,2582666,Broomtown,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,19,Cherokee County,US01019,12760,US0112760,2406240,Cedar Bluff town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,19,Cherokee County,US01019,13648,US0113648,2404025,Centre city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,19,Cherokee County,US01019,16600,US0116600,2406296,Collinsville town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,19,Cherokee County,US01019,29296,US0129296,2406555,Gaylesville town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,19,Cherokee County,US01019,42016,US0142016,2405999,Leesburg town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,19,Cherokee County,US01019,59640,US0159640,2404515,Piedmont city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,19,Cherokee County,US01019,67920,US0167920,2407282,Sand Rock town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,19,Cherokee County,US01019,72408,US0172408,2582700,Spring Garden,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,21,Chilton County,US01021,11416,US0111416,2403965,Calera city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,21,Chilton County,US01021,15136,US0115136,2404052,Clanton city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,21,Chilton County,US01021,38608,US0138608,2404801,Jemison city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,21,Chilton County,US01021,46504,US0146504,2406093,Maplesville town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,21,Chilton County,US01021,76080,US0176080,2406731,Thorsby town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,23,Choctaw County,US01023,11032,US0111032,2405351,Butler town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,23,Choctaw County,US01023,19024,US0119024,2628586,Cullomburg,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,23,Choctaw County,US01023,29704,US0129704,2406569,Gilbertown town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,23,Choctaw County,US01023,43384,US0143384,2406024,Lisman town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,23,Choctaw County,US01023,53472,US0153472,2406970,Needham town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,23,Choctaw County,US01023,58968,US0158968,2407098,Pennington town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,23,Choctaw County,US01023,70416,US0170416,2407336,Silas town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,23,Choctaw County,US01023,76632,US0176632,2406745,Toxey town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,25,Clarke County,US01025,12112,US0112112,2628583,Carlton,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,25,Clarke County,US01025,16264,US0116264,2406289,Coffeeville town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,25,Clarke County,US01025,28504,US0128504,2406530,Fulton town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,25,Clarke County,US01025,32080,US0132080,2406623,Grove Hill town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,25,Clarke County,US01025,38152,US0138152,2404775,Jackson city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,25,Clarke County,US01025,65784,US0165784,2632283,Rockville,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,25,Clarke County,US01025,75960,US0175960,2405583,Thomasville city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,25,Clarke County,US01025,81744,US0181744,2628609,Whatley,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,27,Clay County,US01027,2860,US0102860,2405173,Ashland town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,27,Clay County,US01027,20272,US0120272,2582670,Delta,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,27,Clay County,US01027,35512,US0135512,2582681,Hollins,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,27,Clay County,US01027,43264,US0143264,2404935,Lineville city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,27,Clay County,US01027,48784,US0148784,2582687,Millerville,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,29,Cleburne County,US01029,23176,US0123176,2406427,Edwardsville town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,29,Cleburne County,US01029,28432,US0128432,2406529,Fruithurst town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,29,Cleburne County,US01029,33976,US0133976,2404675,Heflin city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,29,Cleburne County,US01029,35536,US0135536,2582682,Hollis Crossroads,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,29,Cleburne County,US01029,63408,US0163408,2407173,Ranburne town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,31,Coffee County,US01031,23296,US0123296,2403549,Elba city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,31,Coffee County,US01031,24184,US0124184,2403567,Enterprise city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,31,Coffee County,US01031,40096,US0140096,2405954,Kinston town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,31,Coffee County,US01031,53856,US0153856,2406973,New Brockton town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,33,Colbert County,US01033,14152,US0114152,2406262,Cherokee town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,33,Colbert County,US01033,42160,US0142160,2406001,Leighton town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,33,Colbert County,US01033,43648,US0143648,2406027,Littleville town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,33,Colbert County,US01033,53016,US0153016,2404345,Muscle Shoals city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,33,Colbert County,US01033,69648,US0169648,2405452,Sheffield city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,33,Colbert County,US01033,77280,US0177280,2405616,Tuscumbia city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,35,Conecuh County,US01035,12496,US0112496,2406236,Castleberry town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,35,Conecuh County,US01035,24808,US0124808,2403584,Evergreen city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,35,Conecuh County,US01035,45496,US0145496,2406134,McKenzie town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,35,Conecuh County,US01035,64368,US0164368,2407200,Repton town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,37,Coosa County,US01037,24280,US0124280,2805889,Equality,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,37,Coosa County,US01037,30640,US0130640,2406589,Goodwater town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,37,Coosa County,US01037,33064,US0133064,2805890,Hanover,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,37,Coosa County,US01037,34984,US0134984,2582680,Hissop,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,37,Coosa County,US01037,39472,US0139472,2405933,Kellyton town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,37,Coosa County,US01037,52320,US0152320,2582689,Mount Olive,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,37,Coosa County,US01037,54696,US0154696,2805891,Nixburg,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,37,Coosa County,US01037,63495,US0163495,2582695,Ray,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,37,Coosa County,US01037,65472,US0165472,2407230,Rockford town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,37,Coosa County,US01037,73152,US0173152,2582703,Stewartville,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,37,Coosa County,US01037,80736,US0180736,2582706,Weogufka,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,39,Covington County,US01039,1708,US0101708,2403097,Andalusia city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,39,Covington County,US01039,3556,US0103556,2405195,Babbie town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,39,Covington County,US01039,12160,US0112160,2405380,Carolina town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,39,Covington County,US01039,26848,US0126848,2406502,Florala town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,39,Covington County,US01039,28936,US0128936,2406539,Gantt town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,39,Covington County,US01039,33904,US0133904,2405811,Heath town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,39,Covington County,US01039,36088,US0136088,2405862,Horn Hill town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,39,Covington County,US01039,42808,US0142808,2406018,Libertyville town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,39,Covington County,US01039,43816,US0143816,2406033,Lockhart town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,39,Covington County,US01039,57024,US0157024,2407049,Onycha town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,39,Covington County,US01039,57120,US0157120,2404437,Opp city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,39,Covington County,US01039,63768,US0163768,2407185,Red Level town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,39,Covington County,US01039,64776,US0164776,2407223,River Falls town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,39,Covington County,US01039,68016,US0168016,2407286,Sanford town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,41,Crenshaw County,US01041,9016,US0109016,2405315,Brantley town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,41,Crenshaw County,US01041,21448,US0121448,2406394,Dozier town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,41,Crenshaw County,US01041,30160,US0130160,2406579,Glenwood town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,41,Crenshaw County,US01041,44728,US0144728,2404977,Luverne city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,41,Crenshaw County,US01041,59328,US0159328,2407104,Petrey town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,41,Crenshaw County,US01041,67176,US0167176,2407263,Rutledge town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,43,Cullman County,US01043,2116,US0102116,2403104,Arab city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,43,Cullman County,US01043,3676,US0103676,2405198,Baileyton town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,43,Cullman County,US01043,5812,US0105812,2797102,Berlin town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,43,Cullman County,US01043,16684,US0116684,2406297,Colony town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,43,Cullman County,US01043,18976,US0118976,2404166,Cullman city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,43,Cullman County,US01043,20955,US0120955,2406384,Dodge City town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,43,Cullman County,US01043,22504,US0122504,2628588,East Point,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,43,Cullman County,US01043,25384,US0125384,2406480,Fairview town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,43,Cullman County,US01043,29032,US0129032,2406541,Garden City town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,43,Cullman County,US01043,30496,US0130496,2406587,Good Hope city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,43,Cullman County,US01043,32968,US0132968,2403793,Hanceville city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,43,Cullman County,US01043,35560,US0135560,2405852,Holly Pond town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,43,Cullman County,US01043,39064,US0139064,2628595,Joppa,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,43,Cullman County,US01043,71900,US0171900,2407373,South Vinemont town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,43,Cullman County,US01043,81528,US0181528,2406865,West Point town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,45,Dale County,US01045,2428,US0102428,2405166,Ariton town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,45,Dale County,US01045,15304,US0115304,2406273,Clayhatchee town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,45,Dale County,US01045,19360,US0119360,2404178,Daleville city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,45,Dale County,US01045,21184,US0121184,2404238,Dothan city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,45,Dale County,US01045,24184,US0124184,2403567,Enterprise city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,45,Dale County,US01045,27640,US0127640,2402503,Fort Rucker,CENSUS DESIGNATED PLACE,M2,S,FALSE
AL,1,US01,45,Dale County,US01045,32056,US0132056,2406621,Grimes town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,45,Dale County,US01045,42472,US0142472,2406009,Level Plains town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,45,Dale County,US01045,48400,US0148400,2406160,Midland City town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,45,Dale County,US01045,53256,US0153256,2406224,Napier Field town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,45,Dale County,US01045,54480,US0154480,2406989,Newton town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,45,Dale County,US01045,57648,US0157648,2404456,Ozark city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,45,Dale County,US01045,59832,US0159832,2407112,Pinckard town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,47,Dallas County,US01047,57240,US0157240,2407056,Orrville town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,47,Dallas County,US01047,69120,US0169120,2405441,Selma city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,47,Dallas County,US01047,69180,US0169180,2402837,Selmont-West Selmont,CENSUS DESIGNATED PLACE,U2,S,TRUE
AL,1,US01,47,Dallas County,US01047,78232,US0178232,2405635,Valley Grande city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,49,DeKalb County,US01049,16600,US0116600,2406296,Collinsville town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,49,DeKalb County,US01049,18856,US0118856,2406341,Crossville town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,49,DeKalb County,US01049,27616,US0127616,2403645,Fort Payne city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,49,DeKalb County,US01049,28672,US0128672,2406534,Fyffe town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,49,DeKalb County,US01049,29608,US0129608,2406561,Geraldine town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,49,DeKalb County,US01049,32896,US0132896,2406640,Hammondville town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,49,DeKalb County,US01049,34096,US0134096,2404680,Henagar city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,49,DeKalb County,US01049,37312,US0137312,2405880,Ider town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,49,DeKalb County,US01049,40888,US0140888,2405980,Lakeview town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,49,DeKalb County,US01049,48064,US0148064,2406147,Mentone town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,49,DeKalb County,US01049,60372,US0160372,2407119,Pine Ridge town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,49,DeKalb County,US01049,62075,US0162075,2407153,Powell town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,49,DeKalb County,US01049,63336,US0163336,2404589,Rainsville city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,49,DeKalb County,US01049,67920,US0167920,2407282,Sand Rock town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,49,DeKalb County,US01049,69840,US0169840,2407327,Shiloh town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,49,DeKalb County,US01049,74400,US0174400,2406707,Sylvania town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,49,DeKalb County,US01049,78240,US0178240,2406785,Valley Head town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,51,Elmore County,US01051,7588,US0107588,2402696,Blue Ridge,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,51,Elmore County,US01051,17176,US0117176,2406310,Coosada town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,51,Elmore County,US01051,20008,US0120008,2406364,Deatsville town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,51,Elmore County,US01051,22816,US0122816,2406420,Eclectic town,INCORPORATED PLACE,C1,A,TRUE
