city_fip,PLACENAME,State-City
US0135752,Holtville,US01-HOLTVILLE
US0148712,Millbrook,US01-MILLBROOK
US0162328,Prattville,US01-PRATTVILLE
US0163730,Redland,US01-REDLAND
US0174688,Tallassee,US01-TALLASSEE
US0181720,Wetumpka,US01-WETUMPKA
US0103004,Atmore,US01-ATMORE
US0109208,Brewton,US01-BREWTON
US0122216,East Brewton,US01-EAST BREWTON
US0126824,Flomaton,US01-FLOMATON
US0161536,Pollard,US01-POLLARD
US0165016,Riverview,US01-RIVERVIEW
US0101660,Altoona,US01-ALTOONA
US0103028,Attalla,US01-ATTALLA
US0103820,Ballplay,US01-BALLPLAY
US0107912,Boaz,US01-BOAZ
US0109457,Bristow Cove,US01-BRISTOW COVE
US0112070,Carlisle-Rockledge,US01-CARLISLE-ROCKLEDGE
US0116080,Coats Bend,US01-COATS BEND
US0123224,Egypt,US01-EGYPT
US0128696,Gadsden,US01-GADSDEN
US0128816,Gallant,US01-GALLANT
US0129992,Glencoe,US01-GLENCOE
US0135392,Hokes Bluff,US01-HOKES BLUFF
US0138032,Ivalee,US01-IVALEE
US0144160,Lookout Mountain,US01-LOOKOUT MOUNTAIN
US0154582,New Union,US01-NEW UNION
US0163288,Rainbow City,US01-RAINBOW CITY
US0163984,Reece City,US01-REECE CITY
US0164656,Ridgeville,US01-RIDGEVILLE
US0168280,Sardis City,US01-SARDIS CITY
US0171832,Southside,US01-SOUTHSIDE
US0176208,Tidmore Bend,US01-TIDMORE BEND
US0179728,Walnut Grove,US01-WALNUT GROVE
US0182176,Whitesboro,US01-WHITESBORO
US0105164,Belk,US01-BELK
US0105932,Berry,US01-BERRY
US0125840,Fayette,US01-FAYETTE
US0129944,Glen Allen,US01-GLEN ALLEN
US0132536,Gu-Win,US01-GU-WIN
US0182992,Winfield,US01-WINFIELD
US0105140,Belgreen,US01-BELGREEN
US0135200,Hodges,US01-HODGES
US0159496,Phil Campbell,US01-PHIL CAMPBELL
US0163576,Red Bay,US01-RED BAY
US0167056,Russellville,US01-RUSSELLVILLE
US0172672,Spruce Pine,US01-SPRUCE PINE
US0178984,Vina,US01-VINA
US0107120,Black,US01-BLACK
US0116240,Coffee Springs,US01-COFFEE SPRINGS
US0124616,Eunola,US01-EUNOLA
US0129464,Geneva,US01-GENEVA
US0133424,Hartford,US01-HARTFORD
US0146264,Malvern,US01-MALVERN
US0167800,Samson,US01-SAMSON
US0171040,Slocomb,US01-SLOCOMB
US0175096,Taylor,US01-TAYLOR
US0108104,Boligee,US01-BOLIGEE
US0124664,Eutaw,US01-EUTAW
US0127376,Forkland,US01-FORKLAND
US0177616,Union,US01-UNION
US0100676,Akron,US01-AKRON
US0131720,Greensboro,US01-GREENSBORO
US0151648,Moundville,US01-MOUNDVILLE
US0153784,Newbern,US01-NEWBERN
US0100124,Abbeville,US01-ABBEVILLE
US0121184,Dothan,US01-DOTHAN
US0132656,Haleburg,US01-HALEBURG
US0133856,Headland,US01-HEADLAND
US0154600,Newville,US01-NEWVILLE
US0102836,Ashford,US01-ASHFORD
US0103364,Avon,US01-AVON
US0116744,Columbia,US01-COLUMBIA
US0117824,Cottonwood,US01-COTTONWOOD
US0118088,Cowarts,US01-COWARTS
US0121184,Dothan,US01-DOTHAN
US0130760,Gordon,US01-GORDON
US0140072,Kinsey,US01-KINSEY
US0145904,Madrid,US01-MADRID
US0164152,Rehobeth,US01-REHOBETH
US0175096,Taylor,US01-TAYLOR
US0180376,Webb,US01-WEBB
US0109328,Bridgeport,US01-BRIDGEPORT
US0121952,Dutton,US01-DUTTON
US0135632,Hollywood,US01-HOLLYWOOD
US0137264,Hytop,US01-HYTOP
US0141368,Langston,US01-LANGSTON
US0157696,Paint Rock,US01-PAINT ROCK
US0160720,Pisgah,US01-PISGAH
US0161038,Pleasant Groves,US01-PLEASANT GROVES
US0168736,Scottsboro,US01-SCOTTSBORO
US0169000,Section,US01-SECTION
US0170896,Skyline,US01-SKYLINE
US0173080,Stevenson,US01-STEVENSON
US0183664,Woodville,US01-WOODVILLE
US0100460,Adamsville,US01-ADAMSVILLE
US0102320,Argo,US01-ARGO
US0105980,Bessemer,US01-BESSEMER
US0107000,Birmingham,US01-BIRMINGHAM
US0109400,Brighton,US01-BRIGHTON
US0109736,Brookside,US01-BROOKSIDE
US0112040,Cardiff,US01-CARDIFF
US0113264,Center Point,US01-CENTER POINT
US0115256,Clay,US01-CLAY
US0116936,Concord,US01-CONCORD
US0117968,County Line,US01-COUNTY LINE
US0123032,Edgewater,US01-EDGEWATER
US0125120,Fairfield,US01-FAIRFIELD
US0127088,Forestdale,US01-FORESTDALE
US0128552,Fultondale,US01-FULTONDALE
US0129056,Gardendale,US01-GARDENDALE
US0131348,Grayson Valley,US01-GRAYSON VALLEY
US0131384,Graysville,US01-GRAYSVILLE
US0134024,Helena,US01-HELENA
US0135800,Homewood,US01-HOMEWOOD
US0135896,Hoover,US01-HOOVER
US0136448,Hueytown,US01-HUEYTOWN
US0137864,Irondale,US01-IRONDALE
US0139856,Kimberly,US01-KIMBERLY
US0140928,Lake View,US01-LAKE VIEW
US0141968,Leeds,US01-LEEDS
US0143336,Lipscomb,US01-LIPSCOMB
US0145040,McCalla,US01-MCCALLA
US0145208,McDonald Chapel,US01-MCDONALD CHAPEL
US0147728,Maytown,US01-MAYTOWN
US0148376,Midfield,US01-MIDFIELD
US0149072,Minor,US01-MINOR
US0151456,Morris,US01-MORRIS
US0151696,Mountain Brook,US01-MOUNTAIN BROOK
US0152344,Mount Olive,US01-MOUNT OLIVE
US0152776,Mulga,US01-MULGA
US0155152,North Johns,US01-NORTH JOHNS
US0160648,Pinson,US01-PINSON
US0161008,Pleasant Grove,US01-PLEASANT GROVE
US0165412,Rock Creek,US01-ROCK CREEK
US0173848,Sumiton,US01-SUMITON
US0174424,Sylvan Springs,US01-SYLVAN SPRINGS
US0174976,Tarrant,US01-TARRANT
US0176680,Trafford,US01-TRAFFORD
US0176944,Trussville,US01-TRUSSVILLE
US0178552,Vestavia Hills,US01-VESTAVIA HILLS
US0179944,Warrior,US01-WARRIOR
US0181336,West Jefferson,US01-WEST JEFFERSON
US0104948,Beaverton,US01-BEAVERTON
US0120392,Detroit,US01-DETROIT
US0139520,Kennedy,US01-KENNEDY
US0148808,Millport,US01-MILLPORT
US0173728,Sulligent,US01-SULLIGENT
US0178480,Vernon,US01-VERNON
US0101756,Anderson,US01-ANDERSON
US0126896,Florence,US01-FLORENCE
US0139784,Killen,US01-KILLEN
US0142640,Lexington,US01-LEXINGTON
US0166216,Rogersville,US01-ROGERSVILLE
US0167536,St. Florian,US01-ST. FLORIAN
US0177580,Underwood-Petersville,US01-UNDERWOOD-PETERSVILLE
US0180064,Waterloo,US01-WATERLOO
US0118040,Courtland,US01-COURTLAND
US0133544,Hatton,US01-HATTON
US0134816,Hillsboro,US01-HILLSBORO
US0151600,Moulton,US01-MOULTON
US0155044,North Courtland,US01-NORTH COURTLAND
US0176584,Town Creek,US01-TOWN CREEK
US0176872,Trinity,US01-TRINITY
US0103076,Auburn,US01-AUBURN
US0143744,Loachapoka,US01-LOACHAPOKA
US0155440,Notasulga,US01-NOTASULGA
US0157048,Opelika,US01-OPELIKA
US0159472,Phenix City,US01-PHENIX CITY
US0171190,Smiths Station,US01-SMITHS STATION
US0180256,Waverly,US01-WAVERLY
US0102260,Ardmore,US01-ARDMORE
US0102956,Athens,US01-ATHENS
US0120104,Decatur,US01-DECATUR
US0123488,Elkmont,US01-ELKMONT
US0137000,Huntsville,US01-HUNTSVILLE
US0142352,Lester,US01-LESTER
US0145784,Madison,US01-MADISON
US0151264,Mooresville,US01-MOORESVILLE
US0105692,Benton,US01-BENTON
US0127520,Fort Deposit,US01-FORT DEPOSIT
US0130808,Gordonville,US01-GORDONVILLE
US0133712,Hayneville,US01-HAYNEVILLE
US0144536,Lowndesboro,US01-LOWNDESBORO
US0151520,Mosses,US01-MOSSES
US0181912,White Hall,US01-WHITE HALL
US0128024,Franklin,US01-FRANKLIN
US0155440,Notasulga,US01-NOTASULGA
US0170128,Shorter,US01-SHORTER
US0177304,Tuskegee,US01-TUSKEGEE
US0132440,Gurley,US01-GURLEY
US0133472,Harvest,US01-HARVEST
US0133808,Hazel Green,US01-HAZEL GREEN
US0137000,Huntsville,US01-HUNTSVILLE
US0145784,Madison,US01-MADISON
US0148112,Meridianville,US01-MERIDIANVILLE
US0151216,Moores Mill,US01-MOORES MILL
US0154168,New Hope,US01-NEW HOPE
US0154312,New Market,US01-NEW MARKET
US0157504,Owens Cross Roads,US01-OWENS CROSS ROADS
US0163912,Redstone Arsenal,US01-REDSTONE ARSENAL
US0176824,Triana,US01-TRIANA
US0119912,Dayton,US01-DAYTON
US0120296,Demopolis,US01-DEMOPOLIS
US0125816,Faunsdale,US01-FAUNSDALE
US0143240,Linden,US01-LINDEN
US0153112,Myrtlewood,US01-MYRTLEWOOD
US0153208,Nanafalia,US01-NANAFALIA
US0162688,Providence,US01-PROVIDENCE
US0162952,Putnam,US01-PUTNAM
US0174304,Sweet Water,US01-SWEET WATER
US0175936,Thomaston,US01-THOMASTON
US0104852,Bear Creek,US01-BEAR CREEK
US0109424,Brilliant,US01-BRILLIANT
US0129944,Glen Allen,US01-GLEN ALLEN
US0132224,Guin,US01-GUIN
US0132536,Gu-Win,US01-GU-WIN
US0132560,Hackleburg,US01-HACKLEBURG
US0132704,Haleyville,US01-HALEYVILLE
US0132848,Hamilton,US01-HAMILTON
US0177352,Twin,US01-TWIN
US0182992,Winfield,US01-WINFIELD
US0100988,Albertville,US01-ALBERTVILLE
US0102116,Arab,US01-ARAB
US0107912,Boaz,US01-BOAZ
US0121328,Douglas,US01-DOUGLAS
US0131096,Grant,US01-GRANT
US0132416,Guntersville,US01-GUNTERSVILLE
US0139064,Joppa,US01-JOPPA
US0168280,Sardis City,US01-SARDIS CITY
US0177784,Union Grove,US01-UNION GROVE
US0103508,Axis,US01-AXIS
US0104684,Bayou La Batre,US01-BAYOU LA BATRE
US0105212,Belle Fontaine,US01-BELLE FONTAINE
US0110456,Bucks,US01-BUCKS
US0111488,Calvert,US01-CALVERT
US0114392,Chickasaw,US01-CHICKASAW
US0114968,Chunchula,US01-CHUNCHULA
US0115064,Citronelle,US01-CITRONELLE
US0118304,Creola,US01-CREOLA
US0119744,Dauphin Island,US01-DAUPHIN ISLAND
US0131024,Grand Bay,US01-GRAND BAY
US0132248,Gulfcrest,US01-GULFCREST
US0150000,Mobile,US01-MOBILE
US0152608,Mount Vernon,US01-MOUNT VERNON
US0152680,Movico,US01-MOVICO
US0162496,Prichard,US01-PRICHARD
US0168160,Saraland,US01-SARALAND
US0168352,Satsuma,US01-SATSUMA
US0169240,Semmes,US01-SEMMES
US0175768,Theodore,US01-THEODORE
US0176320,Tillmans Corner,US01-TILLMANS CORNER
US0104900,Beatrice,US01-BEATRICE
US0124880,Excel,US01-EXCEL
US0128312,Frisco City,US01-FRISCO CITY
US0147848,Megargel,US01-MEGARGEL
US0150192,Monroeville,US01-MONROEVILLE
US0159232,Peterman,US01-PETERMAN
US0178120,Uriah,US01-URIAH
US0179272,Vredenburgh,US01-VREDENBURGH
US0151000,Montgomery,US01-MONTGOMERY
US0159760,Pike Road,US01-PIKE ROAD
US0120104,Decatur,US01-DECATUR
US0124688,Eva,US01-EVA
US0125648,Falkville,US01-FALKVILLE
US0133448,Hartselle,US01-HARTSELLE
US0137000,Huntsville,US01-HUNTSVILLE
US0162472,Priceville,US01-PRICEVILLE
US0171496,Somerville,US01-SOMERVILLE
US0176872,Trinity,US01-TRINITY
US0146768,Marion,US01-MARION
US0177904,Uniontown,US01-UNIONTOWN
US0101228,Aliceville,US01-ALICEVILLE
US0112304,Carrollton,US01-CARROLLTON
US0124472,Ethelsville,US01-ETHELSVILLE
US0130736,Gordo,US01-GORDO
US0145316,Macedonia,US01-MACEDONIA
US0145640,McMullen,US01-MCMULLEN
US0148052,Memphis,US01-MEMPHIS
US0159592,Pickensville,US01-PICKENSVILLE
US0164104,Reform,US01-REFORM
US0103940,Banks,US01-BANKS
US0110240,Brundidge,US01-BRUNDIDGE
US0130880,Goshen,US01-GOSHEN
US0176920,Troy,US01-TROY
US0131000,Graham,US01-GRAHAM
US0151469,Morrison Crossroads,US01-MORRISON CROSSROADS
US0165040,Roanoke,US01-ROANOKE
US0165592,Rock Mills,US01-ROCK MILLS
US0179344,Wadley,US01-WADLEY
US0180496,Wedowee,US01-WEDOWEE
US0183400,Woodland,US01-WOODLAND
US0137096,Hurtsboro,US01-HURTSBORO
US0140648,Ladonia,US01-LADONIA
US0159472,Phenix City,US01-PHENIX CITY
US0102320,Argo,US01-ARGO
US0102908,Ashville,US01-ASHVILLE
US0141968,Leeds,US01-LEEDS
US0146696,Margaret,US01-MARGARET
US0151096,Moody,US01-MOODY
US0156400,Odenville,US01-ODENVILLE
US0158896,Pell City,US01-PELL CITY
US0163216,Ragland,US01-RAGLAND
US0164920,Riverside,US01-RIVERSIDE
US0172600,Springville,US01-SPRINGVILLE
US0172888,Steele,US01-STEELE
US0176944,Trussville,US01-TRUSSVILLE
US0179008,Vincent,US01-VINCENT
US0100820,Alabaster,US01-ALABASTER
US0107000,Birmingham,US01-BIRMINGHAM
US0109064,Brantleyville,US01-BRANTLEYVILLE
US0109500,Brook Highland,US01-BROOK HIGHLAND
US0111416,Calera,US01-CALERA
US0114104,Chelsea,US01-CHELSEA
US0116768,Columbiana,US01-COLUMBIANA
US0121890,Dunnavant,US01-DUNNAVANT
US0122088,Eagle Point,US01-EAGLE POINT
US0133256,Harpersville,US01-HARPERSVILLE
US0134024,Helena,US01-HELENA
US0134490,Highland Lakes,US01-HIGHLAND LAKES
US0135896,Hoover,US01-HOOVER
US0137465,Indian Springs Village,US01-INDIAN SPRINGS VILLAGE
US0141968,Leeds,US01-LEEDS
US0147740,Meadowbrook,US01-MEADOWBROOK
US0150312,Montevallo,US01-MONTEVALLO
US0158680,Pea Ridge,US01-PEA RIDGE
US0158848,Pelham,US01-PELHAM
US0169672,Shelby,US01-SHELBY
US0169978,Shoal Creek,US01-SHOAL CREEK
US0173056,Sterrett,US01-STERRETT
US0178312,Vandiver,US01-VANDIVER
US0178552,Vestavia Hills,US01-VESTAVIA HILLS
US0179008,Vincent,US01-VINCENT
US0181504,Westover,US01-WESTOVER
US0182848,Wilsonville,US01-WILSONVILLE
US0182872,Wilton,US01-WILTON
US0105188,Bellamy,US01-BELLAMY
US0118952,Cuba,US01-CUBA
US0123872,Emelle,US01-EMELLE
US0124256,Epes,US01-EPES
US0128768,Gainesville,US01-GAINESVILLE
US0129392,Geiger,US01-GEIGER
US0143720,Livingston,US01-LIVINGSTON
US0157912,Panola,US01-PANOLA
US0184096,York,US01-YORK
US0108248,Bon Air,US01-BON AIR
US0114464,Childersburg,US01-CHILDERSBURG
US0125864,Fayetteville,US01-FAYETTEVILLE
US0143120,Lincoln,US01-LINCOLN
US0148616,Mignon,US01-MIGNON
US0152848,Munford,US01-MUNFORD
US0155752,Oak Grove,US01-OAK GROVE
US0157576,Oxford,US01-OXFORD
US0174352,Sylacauga,US01-SYLACAUGA
US0174592,Talladega,US01-TALLADEGA
US0174616,Talladega Springs,US01-TALLADEGA SPRINGS
US0179008,Vincent,US01-VINCENT
US0179488,Waldo,US01-WALDO
US0101132,Alexander City,US01-ALEXANDER CITY
US0111680,Camp Hill,US01-CAMP HILL
US0119336,Dadeville,US01-DADEVILLE
US0119816,Daviston,US01-DAVISTON
US0130448,Goldville,US01-GOLDVILLE
US0132584,Hackneyville,US01-HACKNEYVILLE
US0138248,Jacksons' Gap,US01-JACKSONS' GAP
US0154432,New Site,US01-NEW SITE
US0157384,Our Town,US01-OUR TOWN
US0164040,Reeltown,US01-REELTOWN
US0174688,Tallassee,US01-TALLASSEE
US0180256,Waverly,US01-WAVERLY
US0109808,Brookwood,US01-BROOKWOOD
US0116000,Coaling,US01-COALING
US0116312,Coker,US01-COKER
US0117704,Cottondale,US01-COTTONDALE
US0135704,Holt,US01-HOLT
US0140928,Lake View,US01-LAKE VIEW
US0151648,Moundville,US01-MOUNDVILLE
US0155200,Northport,US01-NORTHPORT
US0177256,Tuscaloosa,US01-TUSCALOOSA
US0178264,Vance,US01-VANCE
US0183640,Woodstock,US01-WOODSTOCK
US0112016,Carbon Hill,US01-CARBON HILL
US0117368,Cordova,US01-CORDOVA
US0121136,Dora,US01-DORA
US0123344,Eldridge,US01-ELDRIDGE
US0138416,Jasper,US01-JASPER
US0139280,Kansas,US01-KANSAS
US0153400,Nauvoo,US01-NAUVOO
US0155992,Oakman,US01-OAKMAN
US0158272,Parrish,US01-PARRISH
US0170704,Sipsey,US01-SIPSEY
US0173848,Sumiton,US01-SUMITON
US0111488,Calvert,US01-CALVERT
US0114008,Chatom,US01-CHATOM
US0119024,Cullomburg,US01-CULLOMBURG
US0120152,Deer Park,US01-DEER PARK
US0125216,Fairford,US01-FAIRFORD
US0128408,Fruitdale,US01-FRUITDALE
US0135130,Hobson,US01-HOBSON
US0142304,Leroy,US01-LEROY
US0145472,McIntosh,US01-MCINTOSH
US0146192,Malcolm,US01-MALCOLM
US0148832,Millry,US01-MILLRY
US0167584,St. Stephens,US01-ST. STEPHENS
US0170632,Sims Chapel,US01-SIMS CHAPEL
US0176200,Tibbie,US01-TIBBIE
US0179032,Vinegar Bend,US01-VINEGAR BEND
US0108680,Boykin,US01-BOYKIN
US0111512,Camden,US01-CAMDEN
US0112544,Catherine,US01-CATHERINE
US0155848,Oak Hill,US01-OAK HILL
US0159880,Pine Apple,US01-PINE APPLE
US0160240,Pine Hill,US01-PINE HILL
US0183976,Yellow Bluff,US01-YELLOW BLUFF
US0100484,Addison,US01-ADDISON
US0102500,Arley,US01-ARLEY
US0121280,Double Springs,US01-DOUBLE SPRINGS
US0132704,Haleyville,US01-HALEYVILLE
US0144800,Lynn,US01-LYNN
